24,"{'name': 'POZUB 3 in1 Multi-Purpose Bluetooth Extendable Wireless Remote Selfie Stick Tripod Stand + Dustproof B...', 'stars': '3.8', 'price': '377', 'OriginalPrice': '397', 'Quality': 'Max Shutter Speed: 0', 'Rating': '49', 'Reviews': '5'}"
25,"{'name': 'SONY Alpha ILCE-6400L Mirrorless Camera Body with 16-50mm Power Zoom Lens', 'stars': '4.5', 'price': '127559', 'OriginalPrice': nan, 'Quality': '4K, Full HD, HD', 'Rating': '6', 'Reviews': '2'}"
26,"{'name': 'SONY ILCE-7CL/SQ IN5 Mirrorless Camera Mirrorless', 'stars': '4.7', 'price': '163290', 'OriginalPrice': '196990', 'Quality': '4K', 'Rating': '20', 'Reviews': '3'}"
27,"{'name': 'SONY Alpha 7M3K Mirrorless Camera Body with 28 - 70 mm Zoom Lens', 'stars': '4.5', 'price': '160081', 'OriginalPrice': '182490', 'Quality': 'XAVC S, AVCHD', 'Rating': '280', 'Reviews': '42'}"
28,"{'name': 'NIKON Z5 Mirrorless Camera 24-200 mm', 'stars': '4.5', 'price': '159995', 'OriginalPrice': '169995', 'Quality': '4K UHD', 'Rating': '13', 'Reviews': '2'}"
29,"{'name': 'Panasonic G Series DC-G95MGW-K Mirrorless Camera Body with Single Lens: 12-60mm lens', 'stars': '3', 'price': '88546', 'OriginalPrice': '94990', 'Quality': '4K', 'Rating': '2', 'Reviews': '1'}"
30,"{'name': 'NIKON Z50 Mirrorless Camera Nikkor Z DX 18-140 mm f/3.5-6.3 VR', 'stars': '5', 'price': '109990', 'OriginalPrice': '125990', 'Quality': '3840 x 2160', 'Rating': '5', 'Reviews': '0'}"
31,"{'name': 'SONY Alpha 7M3 Mirrorless Camera Body Only', 'stars': '4.5', 'price': '145990', 'OriginalPrice': '167990', 'Quality': 'XAVC S, AVCHD', 'Rating': '280', 'Reviews': '42'}"
32,"{'name': 'FUJIFILM X Series X-S10 Mirrorless Camera Body Only', 'stars': '4.9', 'price': '93000', 'OriginalPrice': '99999', 'Quality': '4K', 'Rating': '17', 'Reviews': '3'}"
33,"{'name': 'SONY Alpha ILCE-7RM4 Mirrorless Camera Body Only', 'stars': '5', 'price': '248990', 'OriginalPrice': '321990', 'Quality': 'NTSC/PAL', 'Rating': '3', 'Reviews': '0'}"
34,"{'name': 'POZUB NEW ARRIVAL Best Buy Strong Tripod stand + Dustproof Bag with Clip |Tripod stand for camera||Gim...', 'stars': '4.2', 'price': '328', 'OriginalPrice': nan, 'Quality': 'Max Shutter Speed: NA', 'Rating': '11', 'Reviews': '1'}"
35,"{'name': 'FUJIFILM X Series X-A7 Mirrorless Camera Body With 15-45 mm Lens', 'stars': '4.3', 'price': '59999', 'OriginalPrice': nan, 'Quality': '4K', 'Rating': '436', 'Reviews': '63'}"
36,"{'name': 'POZUB PZB-F42 Buy Hot Selling Tripod stand with Clip BAG |Tripod stand for camera||Gimbal for smartpho...', 'stars': '3.8', 'price': '328', 'OriginalPrice': nan, 'Quality': 'Max Shutter Speed: NA', 'Rating': '67', 'Reviews': '2'}"
37,"{'name': 'NIKON Z7 II Body Mirrorless Camera with 64GB UHS-II SD Card', 'stars': '5', 'price': '249995', 'OriginalPrice': nan, 'Quality': 'H.264/MPEG-4 Advanced Video Coding', 'Rating': '3', 'Reviews': '0'}"
38,"{'name': 'POZUB PUB-42WW NEW ARRIVAL Best Buy Strong Tripod stand + Dustproof Bag with Clip |Tripod stand mobile...', 'stars': '3.8', 'price': '341', 'OriginalPrice': nan, 'Quality': 'Max Shutter Speed: NA', 'Rating': '5', 'Reviews': '0'}"
39,"{'name': 'FUJIFILM X-Series X-E4 Mirrorless Camera Body with Accessories - Metal Hand Grip (MHG-XE4) and Thumb R...', 'stars': '4.8', 'price': '82999', 'OriginalPrice': '88999', 'Quality': '4K, Full HD', 'Rating': '10', 'Reviews': '3'}"
40,"{'name': 'SONY ILCE-7C/BQ IN5 Mirrorless Camera Mirrorless', 'stars': '4.7', 'price': '137790', 'OriginalPrice': '167990', 'Quality': '4K', 'Rating': '15', 'Reviews': '2'}"
41,"{'name': 'FUJIFILM X-Series X-E4 Mirrorless Camera Body with Accessories - Metal Hand Grip (MHG-XE4) and Thumb R...', 'stars': '4.8', 'price': '82999', 'OriginalPrice': '88999', 'Quality': '4K, Full HD', 'Rating': '10', 'Reviews': '3'}"
42,"{'name': 'FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 18-55mm Lens', 'stars': '4.4', 'price': '172000', 'OriginalPrice': '184999', 'Quality': '4K, Full HD', 'Rating': '16', 'Reviews': '3'}"
43,"{'name': 'FUJIFILM X-Series X-E4 Mirrorless Camera Body Only', 'stars': '4.8', 'price': '74499', 'OriginalPrice': '79999', 'Quality': '4K, Full HD', 'Rating': '10', 'Reviews': '3'}"
44,"{'name': 'FUJIFILM X Series X-T4 Mirrorless Camera Body Only', 'stars': '4.4', 'price': '144000', 'OriginalPrice': '154999', 'Quality': '4K, Full HD', 'Rating': '16', 'Reviews': '3'}"
45,"{'name': 'SONY ILCE-6600/B IN5 Mirrorless Camera Body Only', 'stars': '4.5', 'price': '113990', 'OriginalPrice': '124990', 'Quality': 'UHD 4K', 'Rating': '47', 'Reviews': '10'}"
